DATA,TI_ParagemTotal,TI_Reducao,TI_Total,PRO_TI_ParagemTotal,PRO_TI_Reducao,PRO_TI_Total,MOE_ParagemTotal,MOE_Reducao,MOE_Total,PRO_MOE_ParagemTotal,PRO_MOE_Reducao,PRO_MOE_Total
2020-04-01,64088,,64088,,,,,,,,,
2020-04-02,22496,,22496,,,,,,,,,
2020-04-03,12398,,12398,,,,,,,,,
2020-04-04,3558,,3558,,,,,,,,,
2020-04-05,2459,,2459,,,,,,,,,
2020-04-06,11731,,11731,,,,,,,,,
2020-04-07,8516,,8516,,,,,,,,,
2020-04-08,6161,,6161,,,,,,,,,
2020-04-09,6018,,6018,,,,,,,,,
2020-04-10,1937,,1937,,,,,,,,,
2020-04-11,1053,,1053,,,,,,,,,
2020-04-12,645,,645,,,,,,,,,
2020-04-13,4216,,4216,,,,,,,,,
2020-04-14,7388,,7388,,,,,,,,,
2020-04-15,7497,,7497,,,,,,,,,
2020-04-16,2,,2,,,,,,,,,
2020-04-20,3977,929,4906,6215,,6215,825,329,1154,,,
2020-04-21,2484,676,3160,8804,,8804,1206,498,1704,,,
2020-04-22,2204,556,2760,11417,,11417,986,504,1490,,,
2020-04-23,1700,521,2221,13188,,13188,916,457,1373,,,
2020-04-24,1247,392,1639,9406,,9406,647,349,996,,,
2020-04-25,306,115,421,2399,,2399,104,59,163,,,
2020-04-26,286,90,376,1942,,1942,77,34,111,,,
2020-04-27,1400,553,1953,11268,,11268,824,464,1288,,,
2020-04-28,1694,639,2333,13926,,13926,788,511,1299,,,
2020-04-29,1770,795,2565,12638,,12638,845,542,1387,,,
2020-04-30,2243,1268,3511,11642,,11642,807,682,1489,,,
2020-05-01,346,125,471,2333,,2333,59,42,101,,,
2020-05-02,155,68,223,1125,,1125,24,34,58,,,
2020-05-03,106,69,175,682,,682,30,18,48,,,
2020-05-04,847,450,1297,5580,,5580,390,261,651,,,
2020-05-30,337,203,540,12072,2794,14866,151,195,346,474,289,763
2020-05-31,430,252,682,7286,2010,9296,202,173,375,327,220,547
2020-06-01,1008,655,1663,17830,5513,23343,1132,1117,2249,1678,1082,2760
2020-06-02,541,422,963,9325,3415,12740,572,745,1317,718,559,1277
2020-06-03,398,301,699,5957,2499,8456,437,519,956,489,387,876
2020-06-04,368,234,602,6570,2161,8731,429,510,939,473,286,759
2020-06-05,410,355,765,5310,2370,7680,428,499,927,361,284,645
2020-06-06,87,71,158,1261,497,1758,57,80,137,65,40,105
2020-06-07,87,47,134,1271,455,1726,43,67,110,64,54,118
2020-06-08,531,360,891,7165,2963,10128,585,655,1240,497,383,880
2020-06-09,809,659,1468,7813,4160,11973,793,1102,1895,568,507,1075
2020-06-20,63,33,96,3687,993,4680,6,5,11,125,94,219
2020-06-21,32,33,65,2280,693,2973,5,10,15,81,100,181
2020-06-22,153,82,235,5364,2534,7898,40,68,108,475,604,1079
2020-06-23,1,1,2,179,33,212,,2,2,8,2,10
